Latitude,Longitude,OBJECTID,PONTO_RECOLHA_FREGUESIA,PONTO_RECOLHA_LOCAL,CONTENTOR_RESiDUO,CONTENTOR_TIPO,CONTENTOR_CAPACIDADE,CONTENTOR_QT,CONTENTOR_TOTAL_LITROS
-9.151300393,38.71224303,698,Misericordia,"21844: R Cruz dos Poiais de Sao Bento, Crt R das Parreiras",Vidro,CV0240,240,1,240
-9.151300393,38.71224303,699,Misericordia,"21844: R Cruz dos Poiais de Sao Bento, Crt R das Parreiras",Embalagens,CV0240,240,1,240
-9.151300393,38.71224303,700,Misericordia,"21844: R Cruz dos Poiais de Sao Bento, Crt R das Parreiras",Lixos,CV0240,240,1,240
-9.147528628,38.70569115,938,Misericordia,"21957: R da Cintura do Porto de Lisboa, 3154 Armazem B",Embalagens,CV0240,240,2,480
-9.147528628,38.70569115,939,Misericordia,"21957: R da Cintura do Porto de Lisboa, 3154 Armazem B",Lixos,CV0240,240,1,240
-9.147528628,38.70569115,940,Misericordia,"21957: R da Cintura do Porto de Lisboa, 3154 Armazem B",Vidro,CV0240,240,1,240
-9.15077561,38.70848234,944,Misericordia,"21959: R Instituto Industrial, 7-7D",Lixos,CV0240,240,1,240
-9.15077561,38.70848234,945,Misericordia,"21959: R Instituto Industrial, 7-7D",Embalagens,CV0240,240,2,480
-9.15077561,38.70848234,946,Misericordia,"21959: R Instituto Industrial, 7-7D",Vidro,CV0140,140,4,560
-9.15077561,38.70848234,947,Misericordia,"21959: R Instituto Industrial, 7-7D",Organicos,CV0240,240,3,720
-9.146054168,38.70791988,843,Misericordia,"21911: Tv Carvalho, frt nº 29",Papel e Cartao,ECIS3000,3000,2,6000
-9.146054168,38.70791988,844,Misericordia,"21911: Tv Carvalho, frt nº 29",Embalagens,ECIS3000,3000,2,6000
-9.146054168,38.70791988,845,Misericordia,"21911: Tv Carvalho, frt nº 29",Vidro,ECIS3000,3000,1,3000
-9.146054168,38.70791988,846,Misericordia,"21911: Tv Carvalho, frt nº 29",Lixos,ECIS3000,3000,2,6000
-9.149067977,38.70885752,921,Misericordia,"21952: R da Boavista, 88-94",Papel e Cartao,CV0090,90,1,90
-9.149067977,38.70885752,922,Misericordia,"21952: R da Boavista, 88-94",Organicos,CV0090,90,1,90
-9.149067977,38.70885752,923,Misericordia,"21952: R da Boavista, 88-94",Vidro,CV0140,140,1,140
-9.149067977,38.70885752,924,Misericordia,"21952: R da Boavista, 88-94",Embalagens,CV0090,90,1,90
